Datetime,open,high,low,close,volume,Stock
2025-03-13 15:15:00,1578.099976,1581.90002,1576,1579,576105,INFY:NSE
2025-03-13 14:15:00,1583,1583.40002,1577.050049,1578.099976,1829660,INFY:NSE
2025-03-13 13:15:00,1579.19995,1585,1579.099976,1582.80005,955729,INFY:NSE
2025-03-13 12:15:00,1576,1580,1572.69995,1579.15002,768969,INFY:NSE
2025-03-13 11:15:00,1578.80005,1580.050049,1570.59998,1576,1196543,INFY:NSE
2025-03-13 10:15:00,1589,1589.69995,1577,1578.84998,838751,INFY:NSE
2025-03-13 09:15:00,1602.90002,1605,1585.15002,1588.94995,1331420,INFY:NSE
2025-03-12 15:15:00,1588.050049,1590.5,1585,1590,1132140,INFY:NSE
2025-03-12 14:15:00,1577.25,1594.59998,1576.65002,1588,4447495,INFY:NSE
2025-03-12 13:15:00,1569.25,1578,1569.099976,1577.30005,1228672,INFY:NSE
2025-03-12 12:15:00,1569.84998,1571,1564.099976,1569.25,1654725,INFY:NSE
2025-03-12 11:15:00,1575.59998,1576.84998,1568.19995,1569.90002,1507568,INFY:NSE
2025-03-12 10:15:00,1585.75,1586.69995,1572.40002,1575.5,1427543,INFY:NSE
2025-03-12 09:15:00,1633.40002,1633.40002,1585.19995,1585.80005,3469110,INFY:NSE
2025-03-11 15:15:00,1660.34998,1667.69995,1660.30005,1661.59998,1153483,INFY:NSE
2025-03-11 14:15:00,1657.69995,1664.94995,1656.5,1660.30005,3129918,INFY:NSE
2025-03-11 13:15:00,1653,1661.65002,1652.65002,1657.30005,1251883,INFY:NSE
2025-03-11 12:15:00,1652.69995,1655.90002,1651.050049,1653.099976,752883,INFY:NSE
2025-03-11 11:15:00,1651.34998,1656.84998,1649.30005,1652.84998,1349579,INFY:NSE
2025-03-11 10:15:00,1651.94995,1657,1639.19995,1651.80005,1734351,INFY:NSE
2025-03-11 09:15:00,1665.59998,1666.65002,1637.15002,1651.55005,3223173,INFY:NSE
2025-03-10 15:15:00,1704.099976,1705,1700.050049,1701,620410,INFY:NSE
2025-03-10 14:15:00,1702.80005,1705.15002,1696.099976,1704.099976,2921109,INFY:NSE
2025-03-10 13:15:00,1713.65002,1713.69995,1702.75,1702.90002,639951,INFY:NSE
2025-03-10 12:15:00,1714.55005,1717,1710.5,1713.80005,701566,INFY:NSE
2025-03-10 11:15:00,1713.94995,1718.69995,1707.5,1714.40002,563678,INFY:NSE
2025-03-10 10:15:00,1700.5,1715,1699.44995,1713.94995,788286,INFY:NSE
2025-03-10 09:15:00,1682,1709.19995,1676.19995,1700.34998,1136840,INFY:NSE
2025-03-07 15:15:00,1686,1687,1683.94995,1685.94995,791703,INFY:NSE
2025-03-07 14:15:00,1680.59998,1689.40002,1680.59998,1686,1662810,INFY:NSE
